facebook,numOfCheckinsAtFirstMostRecentEducationLastYear
facebook,numOfCheckinsAtFirstMostRecentEducationThisYear
facebook,numOfCheckinsAtSecondMostRecentEducationLastYear
facebook,numOfCheckinsAtSecondMostRecentEducationThisYear
facebook,numOfCheckinsAtThirdMostRecentEducationLastYear
facebook,numOfCheckinsAtThirdMostRecentEducationThisYear
facebook,numOfCloseFriends
facebook,numOfCollegeFriends
facebook,numOfCoworkers
facebook,numOfEvents
facebook,numOfEventsAttended
facebook,numOfFamilyMembers
facebook,numOfFriends
facebook,numOfFriendsBirthWithinFiveYears
facebook,numOfFriendsBirthWithinFourYears
facebook,numOfFriendsBirthWithinOneYear
facebook,numOfFriendsBirthWithinThreeYears
facebook,numOfFriendsBirthWithinTwoYears
facebook,numOfFriendsFromFirstMostRecentEducation
facebook,numOfFriendsFromFirstMostRecentEducationWithSameGraduationYear
facebook,numOfFriendsFromSecondMostRecentEducation
facebook,numOfFriendsFromSecondMostRecentEducationWithSameGraduationYear
facebook,numOfFriendsFromThirdMostRecentEducation
facebook,numOfFriendsFromThirdMostRecentEducationWithSameGraduationYear
facebook,numOfFriendsWorkingAtFirstMostRecentEducation
facebook,numOfFriendsWorkingAtSecondMostRecentEducation
facebook,numOfFriendsWorkingAtThirdMostRecentEducation
facebook,numOfGroups
facebook,numOfGroupsAdministrating
facebook,numOfLikes
facebook,numOfLinks
facebook,numOfLocations
facebook,numOfPhotos
facebook,numOfPosts
facebook,numOfReceivedComments
facebook,numOfReceivedLikes
facebook,numOfSchoolFriends
facebook,numOfStatuses
facebook,numOfStudentFriends
facebook,numOfStudentFriendsWithinOneYearAgeDifference
facebook,numOfStudentFriendsWithinThreeYearsAgeDifference
facebook,numOfStudentFriendsWithinTwoYearsAgeDifference
facebook,numOfStudentFriendsWithSameAge
facebook,numOfTagged
